Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Streptococcus mitis_AP GCA_000220045.2	1008452	GCA_000220045.2	0.02	0.006239	0.00603	7450	13364
s__Staphylococcus haemolyticus GCA_000261465.1	1134914	GCA_000261465.1	0.02	0.427641	0.306075	10865	13364
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	0.02	0.282294	0.250862	13877	13364
s__Campylobacter_B ureolyticus GCA_000597825.1	827	GCA_000597825.1	0.02	0.395268	0.279211	5084	13364
s__Anaerococcus senegalensis GCA_000321005.2	1033733	GCA_000321005.2	0.02	0.191678	0.149218	6109	13364
s__Anaerococcus jeddahensis GCA_001182725.1	1673719	GCA_001182725.1	0.02	0.083368	0.071293	8194	13364
s__Anaerococcus octavius GCA_002847745.1	54007	GCA_002847745.1	0.02	0.137526	0.128391	6131	13364
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	0.02	0.416253	0.206264	6471	13364
s__Corynebacterium amycolatum_A	43765		0.01	0.234633	0.051317	3118	6682
s__Corynebacterium amycolatum GCA_008042235.1	2022657	GCA_008042235.1	0.01	0.160187	0.021097	5369	6682
s__Aerococcus urinae_D GCA_001809895.1	1715159	GCA_001809895.1	0.01	0.36519	0.310368	5934	6682
s__Aerococcus urinae_A GCA_000193205.1	2976812	GCA_000193205.1	0.01	0.214438	0.101793	2220	6682
s__Staphylococcus pettenkoferi GCA_000260275.1	904314	GCA_000260275.1	0.01	0.177321	0.17411	5264	6682
s__Staphylococcus aureus GCA_013371405.1	1280	GCA_013371405.1	0.01	0.07586	0.076802	4755	6682
s__Enterobacter kobei GCA_000492995.1	1329829	GCA_000492995.1	0.01	0.015036	0.011683	5922	6682
s__Prevotella sp000163055 GCA_000163055.2	575614	GCA_000163055.2	0.01	0.00962	0.009813	6040	6682
s__Prevotella sp900547085 GCA_900547085.1	159272	GCA_900547085.1	0.01	0.129263	0.05371	2303	6682
s__Porphyromonas_A bennonis GCA_000375645.1	1122971	GCA_000375645.1	0.01	0.055381	0.040511	2961	6682
s__Campylobacter_B ureolyticus_A GCA_000413435.1	883165	GCA_000413435.1	0.01	0.247611	0.12963	2632	6682
s__Anaerococcus vaginalis GCA_001812365.1	1739356	GCA_001812365.1	0.01	0.029934	0.028764	2961	6682
s__Anaerococcus vaginimassiliensis GCA_000191725.2	879305	GCA_000191725.2	0.01	0.180671	0.119331	2407	6682
s__Anaerococcus provencensis GCA_000312365.2	938293	GCA_000312365.2	0.01	0.057491	0.049603	3073	6682
s__Anaerococcus lactolyticus GCA_000156575.1	525254	GCA_000156575.1	0.01	0.033159	0.029879	2747	6682
s__Anaerococcus mediterraneensis GCA_900128415.1	1870984	GCA_900128415.1	0.01	0.080148	0.08028	2165	6682
s__Peptoniphilus_A vaginalis GCA_900176605.1	1756987	GCA_900176605.1	0.01	0.130103	0.045853	2859	6682
s__Peptoniphilus_A grossensis GCA_000311825.1	1118057	GCA_000311825.1	0.01	0.030505	0.024645	2654	6682
s__Urinicoccus massiliensis GCA_900120405.1	1723382	GCA_900120405.1	0.01	0.085506	0.018146	3509	6682
s__Peptoniphilus_C coxii GCA_001553115.1	755172	GCA_001553115.1	0.01	0.027141	0.02564	3672	6682
s__Peptoniphilus_E obesi GCA_000311865.1	1118062	GCA_000311865.1	0.01	0.009064	0.009124	1842	6682
