ID	Name	Copies per Million (CPM)	Relative Abundance
PWY-2941	L-lysine biosynthesis II	7596.88	0.7596878328686769
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	7505.93	0.7505928348695764
PWY-5723	Rubisco shunt	7451.13	0.7451128360751762
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	7428.03	0.7428028365833761
P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	7357.73	0.7357728381299756
PWY-5100	pyruvate fermentation to acetate and lactate II	7357.73	0.7357728381299756
PWY-7851	coenzyme A biosynthesis II (eukaryotic)	7140.42	0.7140418429107948
PWY-1861	formaldehyde assimilation II (assimilatory RuMP Cycle)	7060.91	0.7060908446600143
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	7013.57	0.701356845701494
PWY-6936	seleno-amino acid biosynthesis (plants)	6639.16	0.6639158539385123
PWY66-429	fatty acid biosynthesis initiation (mitochondria)	6602.08	0.660207854754272
PANTOSYN-PWY	superpathway of coenzyme A biosynthesis I (bacteria)	6515.41	0.6515408566610116
PWY-6630	superpathway of L-tyrosine biosynthesis	6436.15	0.6436148584047312
VALSYN-PWY	L-valine biosynthesis	6318.95	0.6318948609831306
PWY-7199	pyrimidine deoxyribonucleosides salvage	6178.43	0.61784286407457
PWY-8187	L-arginine degradation XIII (reductive Stickland reaction)	5985.22	0.598521868325189
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	5586.21	0.5586208771034071
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	5586.21	0.5586208771034071
PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type	5458	0.5457998799240265
PWY-7977	L-methionine biosynthesis IV	5176.52	0.5176518861165852
PANTO-PWY	phosphopantothenate biosynthesis I	4882.86	0.48828589257710364
HSERMETANA-PWY	L-methionine biosynthesis III	4862.85	0.48628489301732364
HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	4862.17	0.4862168930322836
P161-PWY	acetylene degradation (anaerobic)	4525.78	0.45257790043286195
PWY0-1477	ethanolamine utilization	4525.78	0.45257790043286195
PWY0-1415	superpathway of heme b biosynthesis from uroporphyrinogen-III	4494.68	0.44946790111706186
THRESYN-PWY	superpathway of L-threonine biosynthesis	4489.83	0.4489829012237618
HEMESYN2-PWY	heme b biosynthesis II (oxygen-independent)	4260.95	0.42609490625912066
PWY-6606	guanosine nucleotides degradation II	3942.51	0.39425091326479916
PWY-6607	guanosine nucleotides degradation I	3942.51	0.39425091326479916
PWY-6608	guanosine nucleotides degradation III	3801.09	0.3801089163760385
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	3439.52	0.3439519243305767
PWY-4041	γ-glutamyl cycle	3320.38	0.3320379269516561
HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	2488.81	0.24888094524619206
PWY-5973	cis-vaccenate biosynthesis	2267.76	0.22677595010929105
PWY-7663	gondoate biosynthesis (anaerobic)	1862.94	0.18629395901532905
