Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Porphyromonas uenonis GCA_000482365.1	1122976	GCA_000482365.1	Bacteria	0.31	0.318832	0.258796	13580	12714
s__Staphylococcus simulans GCA_001838445.1	1739455	GCA_001838445.1	Bacteria	0.29	0.493476	0.38065	14502	11894
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	Bacteria	0.28	0.182469	0.123772	16328	11484
s__Campylobacter_B ureolyticus_A GCA_000413435.1	883165	GCA_000413435.1	Bacteria	0.28	0.305097	0.183761	9061	11484
s__Corynebacterium amycolatum GCA_008042235.1	2022657	GCA_008042235.1	Bacteria	0.28	0.347778	0.179517	13568	11484
s__Anaerococcus vaginalis_B GCA_000307225.1	33037	GCA_000307225.1	Bacteria	0.27	0.465672	0.4593	10131	11074
s__Gleimia hominis GCA_002871945.1	595468	GCA_002871945.1	Bacteria	0.26	0.367832	0.368036	11077	10663
s__Globicatella sanguinis GCA_001811625.1	1739315	GCA_001811625.1	Bacteria	0.25	0.275933	0.276727	11506	10253
s__Corynebacterium riegelii GCA_001806945.1	1581072	GCA_001806945.1	Bacteria	0.24	0.252875	0.243916	11749	9843
s__Peptoniphilus_A harei GCA_001815405.1	1739525	GCA_001815405.1	Bacteria	0.22	0.309354	0.284733	8046	9023
s__Prevotella sp900547085 GCA_900547085.1	159272	GCA_900547085.1	Bacteria	0.2	0.161169	0.092112	8057	8203
s__Negativicoccus succinicivorans GCA_000508525.1	1403945	GCA_000508525.1	Bacteria	0.2	0.305818	0.305818	5083	8203
s__Varibaculum cambriense_A GCA_000508625.1	1403948	GCA_000508625.1	Bacteria	0.19	0.115362	0.086581	8448	7792
s__Corynebacterium amycolatum_A	43765		Bacteria	0.17	0.443625	0.059419	7913	6972
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	0.16	0.051909	0.014575	8117	6562
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	Bacteria	0.16	0.212484	0.076152	5895	6562
s__Urinicoccus timonensis GCA_900232945.1	2024205	GCA_900232945.1	Bacteria	0.16	0.299721	0.140228	6119	6562
s__Fenollaria timonensis GCA_001457835.1	1723384	GCA_001457835.1	Bacteria	0.15	0.1588	0.1272	5222	6152
s__Prevotella sp000479005 GCA_000479005.1	1111130	GCA_000479005.1	Bacteria	0.15	0.104013	0.048913	8256	6152
s__Gleimia europaea_B GCA_000411155.1	883069	GCA_000411155.1	Bacteria	0.15	0.197184	0.17782	5746	6152
s__Staphylococcus warneri GCA_000736475.1	1292	GCA_000736475.1	Bacteria	0.13	0.341962	0.027228	6205	5332
s__Peptoniphilus_A grossensis GCA_000311825.1	1118057	GCA_000311825.1	Bacteria	0.13	0.203689	0.132844	5050	5332
s__Anaerococcus hydrogenalis GCA_000191745.2	879306	GCA_000191745.2	Bacteria	0.12	0.321917	0.212129	4278	4922
s__Varibaculum timonense_A GCA_900120415.1	1870994	GCA_900120415.1	Bacteria	0.12	0.028983	0.02041	4905	4922
s__Porphyromonas_A bennonis GCA_000375645.1	1122971	GCA_000375645.1	Bacteria	0.11	0.158523	0.146026	4412	4511
s__Anaerococcus obesiensis GCA_001811125.1	1739286	GCA_001811125.1	Bacteria	0.1	0.185342	0.060966	3607	4101
s__Anaerococcus prevotii GCA_000024105.1	525919	GCA_000024105.1	Bacteria	0.1	0.122456	0.092414	3712	4101
s__Ezakiella peruensis GCA_900215725.1	1464038	GCA_900215725.1	Bacteria	0.1	0.156525	0.155828	3246	4101
s__Prevotella bergensis GCA_000160535.1	585502	GCA_000160535.1	Bacteria	0.1	0.101611	0.094285	6532	4101
s__Streptococcus vestibularis GCA_000180075.1	904306	GCA_000180075.1	Bacteria	0.09	0.143788	0.072732	3379	3691
s__Anaerococcus marasmi GCA_900290195.1	2057797	GCA_900290195.1	Bacteria	0.09	0.087956	0.055683	3534	3691
s__Peptoniphilus_B sp000478985 GCA_000478985.1	1111134	GCA_000478985.1	Bacteria	0.09	0.032021	0.031243	3458	3691
s__Alterileibacterium massiliense GCA_900104645.1	1870997	GCA_900104645.1	Bacteria	0.09	0.140738	0.134791	2499	3691
s__Prevotella colorans GCA_003096815.1	1703337	GCA_003096815.1	Bacteria	0.09	0.010883	0.00801	5309	3691
s__Streptococcus thermophilus	1308		Bacteria	0.08	0.206422	0.163636	2727	3281
s__Peptoniphilus_E obesi GCA_000311865.1	1118062	GCA_000311865.1	Bacteria	0.08	0.263378	0.262678	2559	3281
s__Ruminococcus_E bromii_B GCA_003463575.1	40518	GCA_003463575.1	Bacteria	0.07	0.0994	0.059301	3252	2871
s__Anaerococcus vaginalis_C GCA_001815585.1	1739537	GCA_001815585.1	Bacteria	0.07	0.196493	0.07425	2419	2871
s__Anaerococcus vaginimassiliensis GCA_000191725.2	879305	GCA_000191725.2	Bacteria	0.07	0.155019	0.113295	2273	2871
s__Peptoniphilus_C pacaensis GCA_900088125.1	1776390	GCA_900088125.1	Bacteria	0.07	0.0739	0.068958	2560	2871
s__Porphyromonas asaccharolytica GCA_000212375.1	879243	GCA_000212375.1	Bacteria	0.07	0.082973	0.039202	3045	2871
s__Leuconostoc lactis GCA_000709265.1	1246	GCA_000709265.1	Bacteria	0.06	0.11674	0.053118	1833	2461
s__Nosocomiicoccus massiliensis GCA_000438455.1	1232430	GCA_000438455.1	Bacteria	0.06	0.18018	0.019478	1609	2461
s__Anaerococcus lactolyticus	33032		Bacteria	0.06	0.046558	0.046558	2250	2461
s__Corynebacterium simulans GCA_001586215.1	146827	GCA_001586215.1	Bacteria	0.06	0.070423	0.064327	3095	2461
s__Enterococcus faecalis GCA_000519705.1	1391484	GCA_000519705.1	Bacteria	0.05	0.132979	0.05	2691	2051
s__Anaerococcus senegalensis GCA_000321005.2	1033733	GCA_000321005.2	Bacteria	0.05	0.098015	0.067437	1719	2051
s__Corynebacterium sp001806875 GCA_001806875.1	1581069	GCA_001806875.1	Bacteria	0.05	0.053428	0.021102	2334	2051
s__Staphylococcus aureus GCA_013371405.1	1280	GCA_013371405.1	Bacteria	0.04	0.025933	0.035053	2417	1641
s__Anaerococcus octavius GCA_002847745.1	54007	GCA_002847745.1	Bacteria	0.04	0.024175	0.017706	1475	1641
s__Mediannikoviicoccus massiliensis GCA_001407835.1	1689303	GCA_001407835.1	Bacteria	0.04	0.082177	0.082177	1497	1641
s__Porphyromonas_A sp900120395 GCA_900120395.1	1720317	GCA_900120395.1	Bacteria	0.04	0.076997	0.076997	1865	1641
s__Oligella urethralis GCA_000372065.1	1122620	GCA_000372065.1	Bacteria	0.04	0.05656	0.023436	1646	1641
s__Trueperella bernardiae GCA_001469025.1	59561	GCA_001469025.1	Bacteria	0.04	0.007303	0.007005	1617	1641
s__Pauljensenia radingae_A GCA_001457875.1	1673722	GCA_001457875.1	Bacteria	0.04	0.050557	0.028332	2095	1641
s__Brevibacterium sp001815905 GCA_001815905.1	1581130	GCA_001815905.1	Bacteria	0.04	0.040825	0.02323	1680	1641
s__Corynebacterium minutissimum GCA_000805675.1	38301	GCA_000805675.1	Bacteria	0.04	0.020483	0.011655	2232	1641
s__Staphylococcus haemolyticus GCA_000009865.1	279808	GCA_000009865.1	Bacteria	0.03	0.094184	0.02116	1351	1230
s__Kallipyga gabonensis GCA_001286805.1	1686287	GCA_001286805.1	Bacteria	0.03	0.054458	0.050714	1063	1230
s__Prevotella amnii GCA_000378745.1	1122979	GCA_000378745.1	Bacteria	0.03	0.004856	0.003889	1558	1230
s__Porphyromonas_A sp001808555 GCA_001808555.1	1739394	GCA_001808555.1	Bacteria	0.03	0.070575	0.051232	1299	1230
s__Corynebacterium tuscaniense GCA_000759055.1	1401064	GCA_000759055.1	Bacteria	0.03	0.034501	0.033157	1345	1230
s__Staphylococcus epidermidis	1282		Bacteria	0.02	0.068388	0.036585	1121	820
s__Faecalimonas phoceensis GCA_000431655.1	1263069	GCA_000431655.1	Bacteria	0.02	0.05457	0.054675	822	820
s__Peptoniphilus_A senegalensis GCA_000321025.1	1033744	GCA_000321025.1	Bacteria	0.02	0.031934	0.016008	543	820
s__Akkermansia muciniphila GCA_018779765.1	239935	GCA_018779765.1	Bacteria	0.02	0.032616	0.022828	941	820
s__Bifidobacterium adolescentis	1680		Bacteria	0.02	0.053647	0.053647	748	820
s__Varibaculum vaginae GCA_900604285.1	2364797	GCA_900604285.1	Bacteria	0.02	0.03257	0.009162	963	820
s__Mobiluncus curtisii GCA_000196535.1	548479	GCA_000196535.1	Bacteria	0.02	0.021219	0.030612	994	820
s__Pseudoglutamicibacter albus GCA_000758985.1	1401063	GCA_000758985.1	Bacteria	0.02	0.034015	0.01622	992	820
s__Corynebacterium massiliense GCA_000420605.1	1121364	GCA_000420605.1	Bacteria	0.02	0.021554	0.021559	645	820
s__Dialister micraerophilus GCA_000194985.1	888062	GCA_000194985.1	Bacteria	0.02	0.055539	0.057208	409	820
s__Methanobrevibacter_A smithii GCA_018784305.1	2173	GCA_018784305.1	Bacteria	0.02	0.110974	0.023784	785	820
s__Lactococcus lactis GCA_000284735.1	1042402	GCA_000284735.1	Bacteria	0.01	0.026518	0.021077	336	410
s__Limosilactobacillus fermentum	1613		Bacteria	0.01	0.011235	0.011235	276	410
f__Staphylococcaceae	90964		Bacteria	0.01	1	1	274	410
s__Ruthenibacterium lactatiformans	1550024		Bacteria	0.01	0.028181	0.028181	1196	410
s__Blautia_A massiliensis GCA_013305055.1	1737424	GCA_013305055.1	Bacteria	0.01	0.036032	0.016907	880	410
s__Blautia_A obeum	40520		Bacteria	0.01	0.025063	0.029674	429	410
s__Dorea_A longicatena GCA_025150085.1	88431	GCA_025150085.1	Bacteria	0.01	0.032377	0.031257	635	410
s__Agathobacter rectalis GCA_000020605.1	515619	GCA_000020605.1	Bacteria	0.01	0.019336	0.019646	600	410
s__Peptococcus niger GCA_900101835.1	2741	GCA_900101835.1	Bacteria	0.01	0.02473	0.02473	519	410
