Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Brevibacterium sp001815905 GCA_001815905.1	1581130	GCA_001815905.1	0.07	0.042624	0.022482	1053	1115
s__Corynebacterium amycolatum GCA_008042235.1	2022657	GCA_008042235.1	0.07	0.06398	0.010165	1132	1115
s__Corynebacterium gottingense GCA_002273005.1	2026255	GCA_002273005.1	0.07	0.008248	0.005623	1260	1115
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	0.07	0.030827	0.013026	797	1115
s__Negativicoccus succinicivorans GCA_000508525.1	1403945	GCA_000508525.1	0.07	0.037916	0.037916	602	1115
s__Peptoniphilus_A harei GCA_001815405.1	1739525	GCA_001815405.1	0.06	0.046341	0.022508	689	955
s__Anaerococcus jeddahensis GCA_001182725.1	1673719	GCA_001182725.1	0.06	0.027976	0.01033	740	955
s__Actinotignum schaalii GCA_000724605.1	59505	GCA_000724605.1	0.05	0.091687	0.035011	739	796
s__Anaerococcus vaginimassiliensis GCA_000191725.2	879305	GCA_000191725.2	0.05	0.023228	0.015787	554	796
s__Micrococcus luteus	1270		0.04	0.025937	0.025229	597	637
s__Pauljensenia radingae_A	1673722		0.03	0.007195	0.007195	416	478
s__Porphyromonas_A bennonis GCA_000375645.1	1122971	GCA_000375645.1	0.03	0.016489	0.015773	433	478
s__Faecalibacterium duncaniae	411483		0.03	0.024902	0.024902	509	478
s__Ruthenibacterium lactatiformans	1550024		0.03	0.023782	0.023782	771	478
s__Peptococcus niger GCA_900101835.1	2741	GCA_900101835.1	0.03	0.01392	0.01392	325	478
s__Olegusella massiliensis GCA_900078545.1	1776381	GCA_900078545.1	0.02	0.015589	0.015721	207	318
s__Bacteroides fragilis_A	817		0.02	0.03125	0.0625	640	318
s__Aerococcus urinae_A GCA_000193205.1	2976812	GCA_000193205.1	0.02	0.103309	0.014085	248	318
s__Blautia_A obeum	40520		0.02	0.020071	0.013468	414	318
s__Peptoniphilus_E obesi GCA_000311865.1	1118062	GCA_000311865.1	0.02	0.021091	0.020881	243	318
s__Mediannikoviicoccus massiliensis GCA_001407835.1	1689303	GCA_001407835.1	0.02	0.026757	0.026757	296	318
s__Ralstonia pickettii_B GCA_000372665.1	1264675	GCA_000372665.1	0.02	0.012933	0.012882	678	318
s__Staphylococcus aureus GCA_013371405.1	1280	GCA_013371405.1	0.01	0.011391	0.018511	188	159
s__Bradyrhizobium sp003020075	2057741		0.01	0.010753	0.010731	621	159
