ID	Name	Copies per Million (CPM)	Relative Abundance
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	7775.76	0.7775759852260566
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	7773.66	0.7773659852300466
PWY-7208	superpathway of pyrimidine nucleobases salvage	7599.73	0.7599729855605136
PWY-7356	thiamine diphosphate salvage IV (yeast)	7532.31	0.7532309856886117
PWY-7663	gondoate biosynthesis (anaerobic)	7009.71	0.7009709866815517
PWY-6897	thiamine diphosphate salvage II	6714.44	0.6714439872425646
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	5875.54	0.5875539888364746
P124-PWY	Bifidobacterium shunt	5797.27	0.5797269889851875
PWY-1042	glycolysis IV	5448.05	0.5448049896487055
PWY-6630	superpathway of L-tyrosine biosynthesis	3678.87	0.3678869930101473
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	3611.44	0.3611439931382643
PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	3226.25	0.3226249938701253
VALSYN-PWY	L-valine biosynthesis	3105.48	0.3105479940995883
ANAEROFRUCAT-PWY	homolactic fermentation	2868.35	0.2868349945501352
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type	2784.18	0.27841799471005824
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)	2679.41	0.2679409949091212
PENTOSE-P-PWY	pentose phosphate pathway	2639.74	0.2639739949844942
PWY-3001	superpathway of L-isoleucine biosynthesis I	2516.77	0.25167699521813724
PWY-5484	glycolysis II (from fructose 6-phosphate)	2320.18	0.2320179955916582
P441-PWY	superpathway of N-acetylneuraminate degradation	2208.29	0.22082899580424917
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	2134.64	0.21346399594418417
PWY-5971	palmitate biosynthesis (type II fatty acid synthase)	2119.02	0.21190199597386217
PWY-5695	inosine 5'-phosphate degradation	2096.88	0.2096879960159282
PWY-6285	superpathway of fatty acids biosynthesis (E. coli)	2014.79	0.20147899617189916
PWY-922	mevalonate pathway I (eukaryotes and bacteria)	1997.84	0.1997839962041042
PWY-2941	L-lysine biosynthesis II	1978.19	0.19781899624143917
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	1938.98	0.19389799631593815
PWY-5989	stearate biosynthesis II (bacteria and plants)	1860.32	0.18603199646539215
FASYN-ELONG-PWY	fatty acid elongation -- saturated	1839.39	0.18393899650515916
PWY-6628	superpathway of L-phenylalanine biosynthesis	1779.44	0.17794399661906415
PWY-5097	L-lysine biosynthesis VI	1754.92	0.17549199666565216
PWY-6284	superpathway of unsaturated fatty acids biosynthesis (E. coli)	1745.59	0.17455899668337915
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	1744.43	0.17444299668558316
PWY-7111	pyruvate fermentation to isobutanol (engineered)	1707.46	0.17074599675582616
PWY0-862	(5Z)-dodecenoate biosynthesis I	1693.5	0.16934999678235016
PWY-2942	L-lysine biosynthesis III	1678.77	0.16787699681033713
PWY-5103	L-isoleucine biosynthesis III	1674	0.16739999681940013
PWY-7664	oleate biosynthesis IV (anaerobic)	1627.27	0.16272699690818715
PWY-6901	superpathway of glucose and xylose degradation	1621.06	0.16210599691998615
PWY-8004	Entner-Doudoroff pathway I	1598.51	0.15985099696283114
PWY-7242	D-fructuronate degradation	1578.52	0.15785199700081215
PWY0-1477	ethanolamine utilization	1567.97	0.15679699702085714
P122-PWY	heterolactic fermentation	1566.92	0.15669199702285214
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	1564.74	0.15647399702699413
PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	1559.96	0.15599599703607614
PWY-6902	chitin degradation II (Vibrio)	1515.05	0.15150499712140514
THISYNARA-PWY	superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	1497.19	0.14971899715533912
PWY-7198	pyrimidine deoxyribonucleotides de novo biosynthesis IV	1494.83	0.1494829971598231
DAPLYSINESYN-PWY	L-lysine biosynthesis I	1482.45	0.14824499718334513
P161-PWY	acetylene degradation (anaerobic)	1475.5	0.14754999719655013
PWY-622	starch biosynthesis	1452.85	0.1452849972395851
P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	1444.26	0.14442599725590613
PWY-5100	pyruvate fermentation to acetate and lactate II	1444.26	0.14442599725590613
PWY-5367	petroselinate biosynthesis	1379.9	0.13798999737819012
GLUCONEO-PWY	gluconeogenesis I	1297.41	0.1297409975349211
PWY-5840	superpathway of menaquinol-7 biosynthesis	1231.58	0.1231579976599981
PWY-7391	isoprene biosynthesis II (engineered)	1108.18	0.11081799789445809
PWY-5897	superpathway of menaquinol-11 biosynthesis	1096.16	0.1096159979172961
PWY-5898	superpathway of menaquinol-12 biosynthesis	1096.16	0.1096159979172961
PWY-5899	superpathway of menaquinol-13 biosynthesis	1096.16	0.1096159979172961
PWY-7858	(5Z)-dodecenoate biosynthesis II	1090.41	0.1090409979282211
PWY-7953	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	1037.96	0.10379599802787609
NONMEVIPP-PWY	methylerythritol phosphate pathway I	1018.71	0.10187099806445109
PWY-7560	methylerythritol phosphate pathway II	1018.71	0.10187099806445109
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	989.991	0.09899909811901719
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	986.387	0.09863869812586479
PWY-7282	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	980.673	0.09806729813672138
1CMET2-PWY	folate transformations III (E. coli)	932.749	0.09327489822777699
GLYCOCAT-PWY	glycogen degradation I	930.262	0.09302619823250227
PWY-4041	γ-glutamyl cycle	927.012	0.09270119823867728
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	926.518	0.09265179823961589
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	898.65	0.08986499829256507
PWY-6527	stachyose degradation	865.088	0.08650879835633288
HISTSYN-PWY	L-histidine biosynthesis	862.48	0.08624799836128808
PYRIDNUCSYN-PWY	NAD de novo biosynthesis I (from aspartate)	777.942	0.07779419852191027
PWY-6270	isoprene biosynthesis I	755.446	0.07554459856465266
PWY-6608	guanosine nucleotides degradation III	745.533	0.07455329858348736
PWY-6606	guanosine nucleotides degradation II	739.721	0.07397209859453016
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	695.725	0.06957249867812257
PWY0-1261	anhydromuropeptides recycling I	678.971	0.06789709870995517
PANTO-PWY	phosphopantothenate biosynthesis I	662.574	0.06625739874110945
PWY-6859	all-trans-farnesol biosynthesis	640.558	0.06405579878293985
PWY-702	L-methionine biosynthesis II	565.984	0.05659839892463045
PWY-7977	L-methionine biosynthesis IV	543.422	0.05434219896749825
PWY0-1479	tRNA processing	537.2	0.053719998979320054
HSERMETANA-PWY	L-methionine biosynthesis III	535.25	0.05352499898302504
P164-PWY	purine nucleobases degradation I (anaerobic)	514.594	0.05145939902227145
PWY-I9	L-cysteine biosynthesis VI (from L-methionine)	477.042	0.04770419909362024
RHAMCAT-PWY	L-rhamnose degradation I	448.318	0.044831799148195836
PWY-5837	2-carboxy-1,4-naphthoquinol biosynthesis	401.022	0.04010219923805823
GLUTORN-PWY	L-ornithine biosynthesis I	393.63	0.03936299925210303
PWY66-389	phytol degradation	373.246	0.037324599290832636
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	347.88	0.03478799933902803
PWY-6823	molybdopterin biosynthesis	271.843	0.027184299483498327
PWY-6292	superpathway of L-cysteine biosynthesis (mammalian)	255.811	0.02558109951395912
PANTOSYN-PWY	superpathway of coenzyme A biosynthesis I (bacteria)	221.813	0.02218129957855532
PWY-6703	preQ0 biosynthesis	219.694	0.021969399582581418
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	205.103	0.020510299610304317
HISDEG-PWY	L-histidine degradation I	174.667	0.017466699668132715
HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	115.427	0.01154269978068871
HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	115.427	0.01154269978068871
HEMESYN2-PWY	heme b biosynthesis II (oxygen-independent)	110.286	0.01102859979045661
